17:18:36 PEMcoupling_sitewide.py (<module>) INFO: Importing PEM coupling packages.
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_BEAMTUBE_MCTUBE_Y_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_BEAMTUBE_SRTUBE_X_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_BEAMTUBE_XMAN_Y_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_BEAMTUBE_YMAN_X_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_BSC1_ITMY_X_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_BSC1_ITMY_Y_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_BSC2_BS_Y_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_BSC3_ITMX_X_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_BSC3_ITMX_Y_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_EBAY_FLOOR_Z_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_HAM2_PRM_Y_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_HAM2_PRM_Z_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_HAM3_PR2_Y_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_HAM4_SR2_X_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_HAM5_SRM_X_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_HAM6_OMC_X_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_HAM6VAC_SEPTUM_X_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_LVEAFLOOR_BS_Z_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_LVEAFLOOR_HAM6_Z_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Including data from ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions//L1:PEM-CS_ACC_PSL_PERISCOPE_X_composite_coupling_data.txt
17:18:38 PEMcoupling_sitewide.py (<module>) INFO: Using channel list ../../test_18FebShaker_LLO_no_smooth/CompositeCouplingFunctions/sitewide_list.txt to narrow down channels.
17:18:46 /home/philippe.nguyen/public_html/PEMcode/test_code/analysis.py (get_gwinc) INFO: Importing GWINC data.
17:18:46 /home/philippe.nguyen/public_html/PEMcode/test_code/analysis.py (get_gwinc) INFO: Successfully imported GWINC data.
